StateTerr,HAI,Year,State_NHSN_Mandate,FAC_TYPE,Num_Facilities_Reporting,Observed_Infections,Predicted_Infections,Standardized_Infection_Ratio,Facilities_Atleast_1_Predicted_HAI,PCT_Hospitals_SIR_Greater_Than_National_SIR
New York,CAUTI,2018,,REHAB,54,47,40.104,1.172,15,6.67
Ohio,CAUTI,2018,,REHAB,47,50,46.967,1.065,17,11.76
Oklahoma,CAUTI,2018,,REHAB,23,9,14.832,0.607,6,
Oregon,CAUTI,2018,,REHAB,8,6,4.154,1.444,0,
Pennsylvania,CAUTI,2018,,REHAB,76,83,79.752,1.041,22,0
Puerto Rico,CAUTI,2018,,REHAB,6,3,3.223,0.931,1,
Rhode Island,CAUTI,2018,,REHAB,5,2,2.89,0.692,0,
South Carolina,CAUTI,2018,,REHAB,22,19,11.26,1.687,2,
South Dakota,CAUTI,2018,,REHAB,3,,,,,
Tennessee,CAUTI,2018,,REHAB,32,36,24.28,1.483,8,
Texas,CAUTI,2018,,REHAB,142,196,140.078,1.399,44,6.82
Utah,CAUTI,2018,,REHAB,11,12,7.05,1.702,3,
Virginia,CAUTI,2018,,REHAB,27,33,21.68,1.522,8,
Virgin Islands,CAUTI,2018,,REHAB,,,,,,
Vermont,CAUTI,2018,,REHAB,2,,,,,
Washington,CAUTI,2018,,REHAB,15,21,22.395,0.938,4,
Wisconsin,CAUTI,2018,,REHAB,22,17,14.072,1.208,2,
West Virginia,CAUTI,2018,,REHAB,8,7,8.324,0.841,4,
Wyoming,CAUTI,2018,,REHAB,2,,,,,
Alaska,CLABSI,2018,,REHAB,2,,,,,
Alabama,CLABSI,2018,,REHAB,6,2,3.02,0.662,1,
Arkansas,CLABSI,2018,,REHAB,13,1,2.887,0.346,0,
Arizona,CLABSI,2018,,REHAB,14,1,2.618,0.382,0,
California,CLABSI,2018,,REHAB,76,9,16.691,0.539,3,
Colorado,CLABSI,2018,,REHAB,21,0,3.69,0,0,
Connecticut,CLABSI,2018,,REHAB,4,,,,,
District of Columbia,CLABSI,2018,,REHAB,2,,,,,
Delaware,CLABSI,2018,,REHAB,3,,,,,
Florida,CLABSI,2018,,REHAB,26,8,11.029,0.725,2,
Georgia,CLABSI,2018,,REHAB,20,4,5.191,0.771,0,
Guam,CLABSI,2018,,REHAB,,,,,,
Hawaii,CLABSI,2018,,REHAB,,,,,,
Iowa,CLABSI,2018,,REHAB,13,4,1.932,2.07,0,
Idaho,CLABSI,2018,,REHAB,2,,,,,
Illinois,CLABSI,2018,,REHAB,33,9,9.403,0.957,1,
Indiana,CLABSI,2018,,REHAB,23,3,6.854,0.438,1,
Kansas,CLABSI,2018,,REHAB,9,1,2.002,0.5,1,
Kentucky,CLABSI,2018,,REHAB,7,2,1.17,1.709,0,
Louisiana,CLABSI,2018,,REHAB,22,3,3.464,0.866,0,
Massachusetts,CLABSI,2018,,REHAB,3,,,,,
Maryland,CLABSI,2018,,REHAB,2,,,,,
Maine,CLABSI,2018,,REHAB,4,,,,,
Michigan,CLABSI,2018,,REHAB,20,3,5.466,0.549,0,
Minnesota,CLABSI,2018,,REHAB,6,4,1.231,3.251,0,
Missouri,CLABSI,2018,,REHAB,15,0,3.414,0,0,
Mississippi,CLABSI,2018,,REHAB,8,1,1.433,0.698,0,
Montana,CLABSI,2018,,REHAB,4,,,,,
North Carolina,CLABSI,2018,,REHAB,13,6,6.542,0.917,1,
North Dakota,CLABSI,2018,,REHAB,2,,,,,
Nebraska,CLABSI,2018,,REHAB,6,1,1.019,0.981,0,
New Hampshire,CLABSI,2018,,REHAB,2,,,,,
New Jersey,CLABSI,2018,,REHAB,6,5,2.053,2.435,0,
New Mexico,CLABSI,2018,,REHAB,5,0,0.729,,0,
Nevada,CLABSI,2018,,REHAB,12,2,3.76,0.532,1,
New York,CLABSI,2018,,REHAB,41,8,8.287,0.965,0,
Ohio,CLABSI,2018,,REHAB,25,5,6.515,0.767,1,
Oklahoma,CLABSI,2018,,REHAB,12,3,2.41,1.245,1,
Oregon,CLABSI,2018,,REHAB,6,0,0.461,,0,
Pennsylvania,CLABSI,2018,,REHAB,75,24,22.864,1.05,4,
Puerto Rico,CLABSI,2018,,REHAB,1,,,,,
Rhode Island,CLABSI,2018,,REHAB,4,,,,,
South Carolina,CLABSI,2018,,REHAB,22,5,4.879,1.025,0,
South Dakota,CLABSI,2018,,REHAB,3,,,,,
Tennessee,CLABSI,2018,,REHAB,15,7,3.702,1.891,0,
Texas,CLABSI,2018,,REHAB,57,15,12.323,1.217,1,
Utah,CLABSI,2018,,REHAB,4,,,,,
Virginia,CLABSI,2018,,REHAB,11,2,4.484,0.446,0,
Virgin Islands,CLABSI,2018,,REHAB,,,,,,
Vermont,CLABSI,2018,,REHAB,2,,,,,
Washington,CLABSI,2018,,REHAB,12,1,2.706,0.37,1,
Wisconsin,CLABSI,2018,,REHAB,18,1,3.483,0.287,1,
West Virginia,CLABSI,2018,,REHAB,2,,,,,
Wyoming,CLABSI,2018,,REHAB,,,,,,
Alaska,VAE,2018,,General,5,33,24.86684705,1.327,2,
Alabama,VAE,2018,,General,43,364,428.5730816,0.849,29,28
Arkansas,VAE,2018,,General,19,195,156.3121966,1.248,12,17
Arizona,VAE,2018,,General,26,303,312.6621405,0.969,18,28
California,VAE,2018,,General,182,2192,2431.658363,0.901,159,18
Colorado,VAE,2018,,General,40,370,374.7895423,0.987,27,26
Connecticut,VAE,2018,,General,13,301,233.4480851,1.289,12,58
District of Columbia,VAE,2018,,General,4,,,,,
Delaware,VAE,2018,,General,3,,,,,
Florida,VAE,2018,,General,124,1550,1794.828942,0.864,112,20
Georgia,VAE,2018,,General,70,1124,1265.75474,0.888,53,32
Guam,VAE,2018,,General,2,,,,,
Hawaii,VAE,2018,,General,6,8,34.05607983,0.235,6,
Iowa,VAE,2018,,General,14,116,95.31722973,1.217,9,
Idaho,VAE,2018,,General,7,55,60.72673057,0.906,6,
Illinois,VAE,2018,,General,64,559,543.5508067,1.028,51,12
Indiana,VAE,2018,,General,68,552,619.32555,0.891,50,12
Kansas,VAE,2018,,General,29,186,164.9516037,1.128,16,13
Kentucky,VAE,2018,,General,43,360,364.7871704,0.987,25,20
Louisiana,VAE,2018,,General,37,386,361.7307214,1.067,25,16
Massachusetts,VAE,2018,,General,22,303,219.0804245,1.383,16,19
Maryland,VAE,2018,,General,23,199,266.1722935,0.748,22,14
Maine,VAE,2018,,General,15,172,93.36153061,1.842,8,
Michigan,VAE,2018,,General,76,1477,1156.698978,1.277,52,44
Minnesota,VAE,2018,,General,12,257,209.9451038,1.224,7,
Missouri,VAE,2018,,General,43,754,697.9657764,1.08,31,32
Mississippi,VAE,2018,,General,26,100,145.6779605,0.686,20,5
Montana,VAE,2018,,General,5,38,36.77027972,1.033,4,
North Carolina,VAE,2018,,General,44,701,555.6594994,1.262,30,37
North Dakota,VAE,2018,,General,2,,,,,
Nebraska,VAE,2018,,General,14,262,145.4103313,1.802,10,40
New Hampshire,VAE,2018,,General,11,47,56.48681315,0.832,11,18
New Jersey,VAE,2018,,General,52,749,791.6850739,0.946,51,18
New Mexico,VAE,2018,,General,17,100,78.6454307,1.272,10,30
Nevada,VAE,2018,,General,22,493,539.5920917,0.914,20,20
New York,VAE,2018,,General,129,1496,2332.353438,0.641,112,12
Ohio,VAE,2018,,General,93,1284,1209.036316,1.062,73,25
Oklahoma,VAE,2018,,General,28,143,210.9037901,0.678,16,6
Oregon,VAE,2018,,General,27,139,158.5863263,0.876,18,6
Pennsylvania,VAE,2018,,General,135,2160,2242.348251,0.963,107,21
Puerto Rico,VAE,2018,,General,8,42,51.82235986,0.81,7,
Rhode Island,VAE,2018,,General,8,121,101.0162805,1.198,7,
South Carolina,VAE,2018,,General,53,757,723.4524263,1.046,33,21
South Dakota,VAE,2018,,General,6,16,15.58300978,1.027,2,
Tennessee,VAE,2018,,General,55,602,766.5512021,0.785,35,20
Texas,VAE,2018,,General,144,1396,1782.969307,0.783,115,10
Utah,VAE,2018,,General,7,37,25.79529816,1.434,4,
Virginia,VAE,2018,,General,67,881,792.5112683,1.112,45,29
Virgin Islands,VAE,2018,,General,1,,,,,
Vermont,VAE,2018,,General,1,,,,,
Washington,VAE,2018,,General,26,172,206.316926,0.834,21,19
Wisconsin,VAE,2018,,General,56,439,336.0632877,1.306,34,24
West Virginia,VAE,2018,,General,17,30,150.7698661,0.199,10,10
Wyoming,VAE,2018,,General,6,3,11.37774539,0.264,1,
National,VAE,2018,,General,2050,24223,25583.7282,0.947,1556,20
Alaska,VAE,2018,,LTAC,1,,,,,
Alabama,VAE,2018,,LTAC,8,17,16.35490404,1.039,5,
Arkansas,VAE,2018,,LTAC,7,47,14.84930505,3.165,3,
Arizona,VAE,2018,,LTAC,6,18,23.18396436,0.776,4,
California,VAE,2018,,LTAC,22,195,295.4118647,0.66,22,14
Colorado,VAE,2018,,LTAC,7,5,19.55934766,0.256,5,
Connecticut,VAE,2018,,LTAC,2,,,,,
District of Columbia,VAE,2018,,LTAC,2,,,,,
Delaware,VAE,2018,,LTAC,1,,,,,
Florida,VAE,2018,,LTAC,28,155,179.9676816,0.861,28,14
Georgia,VAE,2018,,LTAC,14,67,57.69232513,1.161,13,23
Guam,VAE,2018,,LTAC,0,,,,,
Hawaii,VAE,2018,,LTAC,0,,,,,
Iowa,VAE,2018,,LTAC,2,,,,,
Idaho,VAE,2018,,LTAC,2,,,,,
Illinois,VAE,2018,,LTAC,10,109,93.55446713,1.165,10,20
Indiana,VAE,2018,,LTAC,12,58,34.61971518,1.675,8,
Kansas,VAE,2018,,LTAC,3,,,,,
Kentucky,VAE,2018,,LTAC,9,46,42.95749697,1.071,7,
Louisiana,VAE,2018,,LTAC,29,18,10.07495569,1.787,3,
Massachusetts,VAE,2018,,LTAC,11,29,60.94589245,0.476,8,
Maryland,VAE,2018,,LTAC,1,,,,,
Maine,VAE,2018,,LTAC,0,,,,,
Michigan,VAE,2018,,LTAC,20,54,51.68069848,1.045,16,13
Minnesota,VAE,2018,,LTAC,2,,,,,
Missouri,VAE,2018,,LTAC,11,32,27.82913467,1.15,10,10
Mississippi,VAE,2018,,LTAC,8,42,15.28851267,2.747,5,
Montana,VAE,2018,,LTAC,1,,,,,
North Carolina,VAE,2018,,LTAC,9,34,39.36851606,0.864,8,
North Dakota,VAE,2018,,LTAC,2,,,,,
Nebraska,VAE,2018,,LTAC,4,,,,,
New Hampshire,VAE,2018,,LTAC,0,,,,,
