Antibiotic_Class,Year,Location,Age_Group,Sex,Rate
Urinary anti-infectives,2011,National,20+,Combined Gender,48.16020409
All classes,2011,National,20+,Female,1042.60277
B-lactams increased activity,2011,National,20+,Female,Insufficient Data
Cephalosporins,2011,National,20+,Female,Insufficient Data
Fluoroquinolones,2011,National,20+,Female,Insufficient Data
Lincosamides,2011,National,20+,Female,Insufficient Data
Macrolides,2011,National,20+,Female,Insufficient Data
Other,2011,National,20+,Female,Insufficient Data
Penicillins,2011,National,20+,Female,Insufficient Data
Tetracycline,2011,National,20+,Female,Insufficient Data
Trimethoprim-sulfamethoxazole,2011,National,20+,Female,Insufficient Data
Urinary anti-infectives,2011,National,20+,Female,Insufficient Data
All classes,2011,National,20+,Male,620.0639818
B-lactams increased activity,2011,National,20+,Male,Insufficient Data
Cephalosporins,2011,National,20+,Male,Insufficient Data
Fluoroquinolones,2011,National,20+,Male,Insufficient Data
Lincosamides,2011,National,20+,Male,Insufficient Data
Macrolides,2011,National,20+,Male,Insufficient Data
Other,2011,National,20+,Male,Insufficient Data
Penicillins,2011,National,20+,Male,Insufficient Data
Tetracycline,2011,National,20+,Male,Insufficient Data
Trimethoprim-sulfamethoxazole,2011,National,20+,Male,Insufficient Data
Urinary anti-infectives,2011,National,20+,Male,Insufficient Data
All classes,2011,National,Combined Ages,Combined Gender,876.7193207
B-lactams increased activity,2011,National,Combined Ages,Combined Gender,70.73844721
Cephalosporins,2011,National,Combined Ages,Combined Gender,117.3351825
Fluoroquinolones,2011,National,Combined Ages,Combined Gender,101.2876402
Lincosamides,2011,National,Combined Ages,Combined Gender,26.30938638
Macrolides,2011,National,Combined Ages,Combined Gender,189.7934358
Other,2011,National,Combined Ages,Combined Gender,1.754564887
Penicillins,2011,National,Combined Ages,Combined Gender,195.986805
Tetracycline,2011,National,Combined Ages,Combined Gender,67.87318113
Trimethoprim-sulfamethoxazole,2011,National,Combined Ages,Combined Gender,66.69903271
Urinary anti-infectives,2011,National,Combined Ages,Combined Gender,38.94164486
All classes,2011,National,Combined Ages,Female,1036.198048
B-lactams increased activity,2011,National,Combined Ages,Female,76.69849035
Cephalosporins,2011,National,Combined Ages,Female,131.1002606
Fluoroquinolones,2011,National,Combined Ages,Female,128.0764941
Lincosamides,2011,National,Combined Ages,Female,31.09878785
Macrolides,2011,National,Combined Ages,Female,225.4306134
Other,2011,National,Combined Ages,Female,1.913284451
Penicillins,2011,National,Combined Ages,Female,213.9937623
Tetracycline,2011,National,Combined Ages,Female,77.26234298
Trimethoprim-sulfamethoxazole,2011,National,Combined Ages,Female,82.68429345
Urinary anti-infectives,2011,National,Combined Ages,Female,67.93971889
All classes,2011,National,Combined Ages,Male,694.6161759
B-lactams increased activity,2011,National,Combined Ages,Male,63.09280987
Cephalosporins,2011,National,Combined Ages,Male,100.8597457
Fluoroquinolones,2011,National,Combined Ages,Male,71.71736643
Lincosamides,2011,National,Combined Ages,Male,20.86610696
Macrolides,2011,National,Combined Ages,Male,148.9551371
Other,2011,National,Combined Ages,Male,1.563352299
Penicillins,2011,National,Combined Ages,Male,173.2407204
Tetracycline,2011,National,Combined Ages,Male,56.96881342
Trimethoprim-sulfamethoxazole,2011,National,Combined Ages,Male,48.99032572
Urinary anti-infectives,2011,National,Combined Ages,Male,8.361797985
All classes,2011,Alabama,Combined Ages,Combined Gender,1153.677456
All other,2011,Alabama,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Alabama,Combined Ages,Combined Gender,181.863367
Fluoroquinolones,2011,Alabama,Combined Ages,Combined Gender,142.6327182
Macrolides,2011,Alabama,Combined Ages,Combined Gender,237.4158292
Penicillins,2011,Alabama,Combined Ages,Combined Gender,212.5952877
All classes,2011,Alaska,Combined Ages,Combined Gender,588.0268264
All other,2011,Alaska,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Alaska,Combined Ages,Combined Gender,74.58328028
Fluoroquinolones,2011,Alaska,Combined Ages,Combined Gender,64.05913874
Macrolides,2011,Alaska,Combined Ages,Combined Gender,134.3275134
Penicillins,2011,Alaska,Combined Ages,Combined Gender,129.006452
All classes,2011,Arizona,Combined Ages,Combined Gender,812.0912124
All other,2011,Arizona,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Arizona,Combined Ages,Combined Gender,117.1741286
Fluoroquinolones,2011,Arizona,Combined Ages,Combined Gender,93.24801977
Macrolides,2011,Arizona,Combined Ages,Combined Gender,172.9699019
Penicillins,2011,Arizona,Combined Ages,Combined Gender,172.9816015
All classes,2011,Arkansas,Combined Ages,Combined Gender,1031.663235
All other,2011,Arkansas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Arkansas,Combined Ages,Combined Gender,158.1409154
Fluoroquinolones,2011,Arkansas,Combined Ages,Combined Gender,116.4633359
Macrolides,2011,Arkansas,Combined Ages,Combined Gender,215.686894
Penicillins,2011,Arkansas,Combined Ages,Combined Gender,223.5524481
All classes,2011,California,Combined Ages,Combined Gender,628.6119093
All other,2011,California,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,California,Combined Ages,Combined Gender,77.1108051
Fluoroquinolones,2011,California,Combined Ages,Combined Gender,71.44561358
Macrolides,2011,California,Combined Ages,Combined Gender,135.0550714
Penicillins,2011,California,Combined Ages,Combined Gender,155.6306654
All classes,2011,Colorado,Combined Ages,Combined Gender,662.3295917
All other,2011,Colorado,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Colorado,Combined Ages,Combined Gender,95.37731502
Fluoroquinolones,2011,Colorado,Combined Ages,Combined Gender,68.32218383
Macrolides,2011,Colorado,Combined Ages,Combined Gender,125.1047345
Penicillins,2011,Colorado,Combined Ages,Combined Gender,163.6439327
All classes,2011,Connecticut,Combined Ages,Combined Gender,882.4286005
All other,2011,Connecticut,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Connecticut,Combined Ages,Combined Gender,113.4273731
Fluoroquinolones,2011,Connecticut,Combined Ages,Combined Gender,97.71071012
Macrolides,2011,Connecticut,Combined Ages,Combined Gender,203.1259781
Penicillins,2011,Connecticut,Combined Ages,Combined Gender,189.7823417
All classes,2011,Delaware,Combined Ages,Combined Gender,1024.478652
All other,2011,Delaware,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Delaware,Combined Ages,Combined Gender,120.2296247
Fluoroquinolones,2011,Delaware,Combined Ages,Combined Gender,126.4770678
Macrolides,2011,Delaware,Combined Ages,Combined Gender,225.1993382
Penicillins,2011,Delaware,Combined Ages,Combined Gender,234.4355159
All classes,2011,District Of Columbia,Combined Ages,Combined Gender,1060.948814
All other,2011,District Of Columbia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,District Of Columbia,Combined Ages,Combined Gender,110.1913037
Fluoroquinolones,2011,District Of Columbia,Combined Ages,Combined Gender,154.7151075
Macrolides,2011,District Of Columbia,Combined Ages,Combined Gender,196.7048823
Penicillins,2011,District Of Columbia,Combined Ages,Combined Gender,234.5144231
All classes,2011,Florida,Combined Ages,Combined Gender,777.7363436
All other,2011,Florida,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Florida,Combined Ages,Combined Gender,91.68906683
Fluoroquinolones,2011,Florida,Combined Ages,Combined Gender,112.6888083
Macrolides,2011,Florida,Combined Ages,Combined Gender,172.3555085
Penicillins,2011,Florida,Combined Ages,Combined Gender,151.7737622
All classes,2011,Georgia,Combined Ages,Combined Gender,873.8439221
All other,2011,Georgia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Georgia,Combined Ages,Combined Gender,116.3728594
Fluoroquinolones,2011,Georgia,Combined Ages,Combined Gender,108.7916838
Macrolides,2011,Georgia,Combined Ages,Combined Gender,169.9707598
Penicillins,2011,Georgia,Combined Ages,Combined Gender,194.0949625
All classes,2011,Hawaii,Combined Ages,Combined Gender,679.4656634
All other,2011,Hawaii,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Hawaii,Combined Ages,Combined Gender,76.11814539
Fluoroquinolones,2011,Hawaii,Combined Ages,Combined Gender,86.96863634
Macrolides,2011,Hawaii,Combined Ages,Combined Gender,151.5044067
Penicillins,2011,Hawaii,Combined Ages,Combined Gender,154.5577257
All classes,2011,Idaho,Combined Ages,Combined Gender,739.8127391
All other,2011,Idaho,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Idaho,Combined Ages,Combined Gender,107.6642968
Fluoroquinolones,2011,Idaho,Combined Ages,Combined Gender,71.2399702
Macrolides,2011,Idaho,Combined Ages,Combined Gender,141.7142974
Penicillins,2011,Idaho,Combined Ages,Combined Gender,171.3859816
All classes,2011,Illinois,Combined Ages,Combined Gender,908.2350482
All other,2011,Illinois,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Illinois,Combined Ages,Combined Gender,104.5294677
Fluoroquinolones,2011,Illinois,Combined Ages,Combined Gender,99.73702447
Macrolides,2011,Illinois,Combined Ages,Combined Gender,206.1191323
Penicillins,2011,Illinois,Combined Ages,Combined Gender,225.1123156
All classes,2011,Indiana,Combined Ages,Combined Gender,1058.633164
All other,2011,Indiana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Indiana,Combined Ages,Combined Gender,177.904178
Fluoroquinolones,2011,Indiana,Combined Ages,Combined Gender,112.7049655
Macrolides,2011,Indiana,Combined Ages,Combined Gender,216.6792986
Penicillins,2011,Indiana,Combined Ages,Combined Gender,246.207097
All classes,2011,Iowa,Combined Ages,Combined Gender,936.44475
All other,2011,Iowa,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Iowa,Combined Ages,Combined Gender,151.9009339
Fluoroquinolones,2011,Iowa,Combined Ages,Combined Gender,92.61621571
Macrolides,2011,Iowa,Combined Ages,Combined Gender,227.4873047
Penicillins,2011,Iowa,Combined Ages,Combined Gender,187.7322911
All classes,2011,Kansas,Combined Ages,Combined Gender,1018.173037
All other,2011,Kansas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Kansas,Combined Ages,Combined Gender,159.8675419
Fluoroquinolones,2011,Kansas,Combined Ages,Combined Gender,107.2562035
Macrolides,2011,Kansas,Combined Ages,Combined Gender,205.2448549
Penicillins,2011,Kansas,Combined Ages,Combined Gender,222.3497255
All classes,2011,Kentucky,Combined Ages,Combined Gender,1320.835597
All other,2011,Kentucky,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Kentucky,Combined Ages,Combined Gender,213.1646956
Fluoroquinolones,2011,Kentucky,Combined Ages,Combined Gender,156.5279638
Macrolides,2011,Kentucky,Combined Ages,Combined Gender,288.0764835
Penicillins,2011,Kentucky,Combined Ages,Combined Gender,283.3212594
All classes,2011,Louisiana,Combined Ages,Combined Gender,1193.936372
Tetracycline,2012,National,20+,Female,Insufficient Data
All other,2011,Louisiana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Louisiana,Combined Ages,Combined Gender,152.0947834
Fluoroquinolones,2011,Louisiana,Combined Ages,Combined Gender,126.0702797
Macrolides,2011,Louisiana,Combined Ages,Combined Gender,275.2066359
Penicillins,2011,Louisiana,Combined Ages,Combined Gender,234.057138
All classes,2011,Maine,Combined Ages,Combined Gender,768.6919642
All other,2011,Maine,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Maine,Combined Ages,Combined Gender,81.33612465
Fluoroquinolones,2011,Maine,Combined Ages,Combined Gender,84.88226036
Macrolides,2011,Maine,Combined Ages,Combined Gender,181.3409366
Penicillins,2011,Maine,Combined Ages,Combined Gender,173.8585543
All classes,2011,Maryland,Combined Ages,Combined Gender,859.6442626
All other,2011,Maryland,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Maryland,Combined Ages,Combined Gender,98.43140795
Fluoroquinolones,2011,Maryland,Combined Ages,Combined Gender,103.2994492
Macrolides,2011,Maryland,Combined Ages,Combined Gender,176.8605143
Penicillins,2011,Maryland,Combined Ages,Combined Gender,205.3825529
All classes,2011,Massachusetts,Combined Ages,Combined Gender,842.1597787
All other,2011,Massachusetts,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Massachusetts,Combined Ages,Combined Gender,91.7537593
Fluoroquinolones,2011,Massachusetts,Combined Ages,Combined Gender,92.03604965
Macrolides,2011,Massachusetts,Combined Ages,Combined Gender,175.3822727
Penicillins,2011,Massachusetts,Combined Ages,Combined Gender,212.7117223
All classes,2011,Michigan,Combined Ages,Combined Gender,1005.797589
All other,2011,Michigan,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Michigan,Combined Ages,Combined Gender,136.171782
Fluoroquinolones,2011,Michigan,Combined Ages,Combined Gender,106.4961933
Macrolides,2011,Michigan,Combined Ages,Combined Gender,209.1898832
Penicillins,2011,Michigan,Combined Ages,Combined Gender,263.1927443
All classes,2011,Minnesota,Combined Ages,Combined Gender,745.82707
All other,2011,Minnesota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Minnesota,Combined Ages,Combined Gender,98.17854068
Fluoroquinolones,2011,Minnesota,Combined Ages,Combined Gender,76.00606653
Macrolides,2011,Minnesota,Combined Ages,Combined Gender,158.7955391
Penicillins,2011,Minnesota,Combined Ages,Combined Gender,186.0369732
All classes,2011,Mississippi,Combined Ages,Combined Gender,1185.883956
All other,2011,Mississippi,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Mississippi,Combined Ages,Combined Gender,175.7076903
Fluoroquinolones,2011,Mississippi,Combined Ages,Combined Gender,137.0871698
Macrolides,2011,Mississippi,Combined Ages,Combined Gender,262.0054095
Penicillins,2011,Mississippi,Combined Ages,Combined Gender,221.1802157
All classes,2011,Missouri,Combined Ages,Combined Gender,975.4805389
All other,2011,Missouri,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Missouri,Combined Ages,Combined Gender,136.6354576
Fluoroquinolones,2011,Missouri,Combined Ages,Combined Gender,108.7666391
Macrolides,2011,Missouri,Combined Ages,Combined Gender,192.4012702
Penicillins,2011,Missouri,Combined Ages,Combined Gender,228.2381179
All classes,2011,Montana,Combined Ages,Combined Gender,724.2087543
All other,2011,Montana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Montana,Combined Ages,Combined Gender,84.07068132
Fluoroquinolones,2011,Montana,Combined Ages,Combined Gender,77.46976177
Macrolides,2011,Montana,Combined Ages,Combined Gender,163.0290951
All other,2012,Maryland,Combined Ages,Combined Gender,Insufficient Data
Penicillins,2011,Montana,Combined Ages,Combined Gender,159.2293274
All classes,2011,Nebraska,Combined Ages,Combined Gender,1008.948699
All other,2011,Nebraska,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Nebraska,Combined Ages,Combined Gender,179.7021222
Fluoroquinolones,2011,Nebraska,Combined Ages,Combined Gender,104.0580014
Macrolides,2011,Nebraska,Combined Ages,Combined Gender,190.5947622
Penicillins,2011,Nebraska,Combined Ages,Combined Gender,212.6286266
All classes,2011,Nevada,Combined Ages,Combined Gender,724.8451401
All other,2011,Nevada,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Nevada,Combined Ages,Combined Gender,94.7665404
Fluoroquinolones,2011,Nevada,Combined Ages,Combined Gender,87.18818533
Macrolides,2011,Nevada,Combined Ages,Combined Gender,158.7351918
Penicillins,2011,Nevada,Combined Ages,Combined Gender,160.7044434
All classes,2011,New Hampshire,Combined Ages,Combined Gender,723.6808716
All other,2011,New Hampshire,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,New Hampshire,Combined Ages,Combined Gender,81.86238012
Fluoroquinolones,2011,New Hampshire,Combined Ages,Combined Gender,77.56893398
Macrolides,2011,New Hampshire,Combined Ages,Combined Gender,159.7636159
Penicillins,2011,New Hampshire,Combined Ages,Combined Gender,174.2642832
All classes,2011,New Jersey,Combined Ages,Combined Gender,963.0522027
All other,2011,New Jersey,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,New Jersey,Combined Ages,Combined Gender,115.2473409
Fluoroquinolones,2011,New Jersey,Combined Ages,Combined Gender,124.898124
Macrolides,2011,New Jersey,Combined Ages,Combined Gender,234.2607604
Penicillins,2011,New Jersey,Combined Ages,Combined Gender,210.9639197
All classes,2011,New Mexico,Combined Ages,Combined Gender,714.8112665
All other,2011,New Mexico,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,New Mexico,Combined Ages,Combined Gender,92.94631417
Fluoroquinolones,2011,New Mexico,Combined Ages,Combined Gender,73.67409271
Macrolides,2011,New Mexico,Combined Ages,Combined Gender,164.7283954
Penicillins,2011,New Mexico,Combined Ages,Combined Gender,165.2625593
All classes,2011,New York,Combined Ages,Combined Gender,912.6846714
All other,2011,New York,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,New York,Combined Ages,Combined Gender,108.2811608
Fluoroquinolones,2011,New York,Combined Ages,Combined Gender,117.6978026
Macrolides,2011,New York,Combined Ages,Combined Gender,215.8569913
Penicillins,2011,New York,Combined Ages,Combined Gender,199.1557824
All classes,2011,North Carolina,Combined Ages,Combined Gender,908.2682861
All other,2011,North Carolina,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,North Carolina,Combined Ages,Combined Gender,127.1362571
Fluoroquinolones,2011,North Carolina,Combined Ages,Combined Gender,111.538085
Macrolides,2011,North Carolina,Combined Ages,Combined Gender,181.378142
Penicillins,2011,North Carolina,Combined Ages,Combined Gender,197.3183003
All classes,2011,North Dakota,Combined Ages,Combined Gender,1001.528847
All other,2011,North Dakota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,North Dakota,Combined Ages,Combined Gender,148.6502287
Fluoroquinolones,2011,North Dakota,Combined Ages,Combined Gender,109.5008625
Macrolides,2011,North Dakota,Combined Ages,Combined Gender,238.5645655
Penicillins,2011,North Dakota,Combined Ages,Combined Gender,206.7030918
All classes,2011,Ohio,Combined Ages,Combined Gender,993.4601057
All other,2011,Ohio,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Ohio,Combined Ages,Combined Gender,127.6095902
Fluoroquinolones,2011,Ohio,Combined Ages,Combined Gender,107.6604843
Macrolides,2011,Ohio,Combined Ages,Combined Gender,235.5661172
Penicillins,2011,Ohio,Combined Ages,Combined Gender,215.4946388
All classes,2011,Oklahoma,Combined Ages,Combined Gender,912.0000306
All other,2011,Oklahoma,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Oklahoma,Combined Ages,Combined Gender,132.1753575
Fluoroquinolones,2011,Oklahoma,Combined Ages,Combined Gender,105.2046849
Macrolides,2011,Oklahoma,Combined Ages,Combined Gender,192.3375061
Penicillins,2011,Oklahoma,Combined Ages,Combined Gender,190.9977956
All classes,2011,Oregon,Combined Ages,Combined Gender,635.5335341
All other,2011,Oregon,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Oregon,Combined Ages,Combined Gender,72.62505546
Fluoroquinolones,2011,Oregon,Combined Ages,Combined Gender,73.09167803
Macrolides,2011,Oregon,Combined Ages,Combined Gender,119.8879473
Penicillins,2011,Oregon,Combined Ages,Combined Gender,146.7237522
All classes,2011,Pennsylvania,Combined Ages,Combined Gender,876.102245
All other,2011,Pennsylvania,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Pennsylvania,Combined Ages,Combined Gender,105.6894914
Fluoroquinolones,2011,Pennsylvania,Combined Ages,Combined Gender,99.75634799
Macrolides,2011,Pennsylvania,Combined Ages,Combined Gender,208.3043347
Penicillins,2011,Pennsylvania,Combined Ages,Combined Gender,196.5688766
All classes,2011,Rhode Island,Combined Ages,Combined Gender,935.1982567
All other,2011,Rhode Island,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Rhode Island,Combined Ages,Combined Gender,101.4000114
Fluoroquinolones,2011,Rhode Island,Combined Ages,Combined Gender,118.8625501
Macrolides,2011,Rhode Island,Combined Ages,Combined Gender,218.1525256
Penicillins,2011,Rhode Island,Combined Ages,Combined Gender,210.1985989
All classes,2011,South Carolina,Combined Ages,Combined Gender,941.3466654
All other,2011,South Carolina,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,South Carolina,Combined Ages,Combined Gender,129.4084596
Fluoroquinolones,2011,South Carolina,Combined Ages,Combined Gender,117.0657347
Macrolides,2011,South Carolina,Combined Ages,Combined Gender,199.4452386
Penicillins,2011,South Carolina,Combined Ages,Combined Gender,199.1955432
All classes,2011,South Dakota,Combined Ages,Combined Gender,924.3142382
All other,2011,South Dakota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,South Dakota,Combined Ages,Combined Gender,162.8200944
Fluoroquinolones,2011,South Dakota,Combined Ages,Combined Gender,92.29837012
Macrolides,2011,South Dakota,Combined Ages,Combined Gender,213.492928
Penicillins,2011,South Dakota,Combined Ages,Combined Gender,184.3334454
All classes,2011,Tennessee,Combined Ages,Combined Gender,1246.525124
All other,2011,Tennessee,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Tennessee,Combined Ages,Combined Gender,180.5179147
Fluoroquinolones,2011,Tennessee,Combined Ages,Combined Gender,148.812512
Macrolides,2011,Tennessee,Combined Ages,Combined Gender,259.0063593
Penicillins,2011,Tennessee,Combined Ages,Combined Gender,240.6453703
All classes,2011,Texas,Combined Ages,Combined Gender,931.8050263
All other,2011,Texas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Texas,Combined Ages,Combined Gender,143.0263026
Fluoroquinolones,2011,Texas,Combined Ages,Combined Gender,103.047422
Macrolides,2011,Texas,Combined Ages,Combined Gender,195.7265888
Penicillins,2011,Texas,Combined Ages,Combined Gender,204.3257866
All classes,2011,Utah,Combined Ages,Combined Gender,846.4320412
All other,2011,Utah,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Utah,Combined Ages,Combined Gender,131.4032843
Fluoroquinolones,2011,Utah,Combined Ages,Combined Gender,71.36006016
Macrolides,2011,Utah,Combined Ages,Combined Gender,160.138286
Penicillins,2011,Utah,Combined Ages,Combined Gender,220.3164964
All classes,2011,Vermont,Combined Ages,Combined Gender,696.6708756
All other,2011,Vermont,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Vermont,Combined Ages,Combined Gender,84.79276878
Fluoroquinolones,2011,Vermont,Combined Ages,Combined Gender,70.71822173
Macrolides,2011,Vermont,Combined Ages,Combined Gender,152.1638918
Penicillins,2011,Vermont,Combined Ages,Combined Gender,172.6354218
All classes,2011,Virginia,Combined Ages,Combined Gender,866.1443052
All other,2011,Virginia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Virginia,Combined Ages,Combined Gender,124.3316665
Fluoroquinolones,2011,Virginia,Combined Ages,Combined Gender,96.3540389
Macrolides,2011,Virginia,Combined Ages,Combined Gender,185.5443696
Penicillins,2011,Virginia,Combined Ages,Combined Gender,192.5706802
All classes,2011,Washington,Combined Ages,Combined Gender,662.2791871
All other,2011,Washington,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Washington,Combined Ages,Combined Gender,86.8374735
Fluoroquinolones,2011,Washington,Combined Ages,Combined Gender,66.9121234
Macrolides,2011,Washington,Combined Ages,Combined Gender,136.0827102
Penicillins,2011,Washington,Combined Ages,Combined Gender,142.078245
All classes,2011,West Virginia,Combined Ages,Combined Gender,1354.585522
All other,2011,West Virginia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,West Virginia,Combined Ages,Combined Gender,217.4181744
Fluoroquinolones,2011,West Virginia,Combined Ages,Combined Gender,164.1501858
Macrolides,2011,West Virginia,Combined Ages,Combined Gender,299.5694621
Penicillins,2011,West Virginia,Combined Ages,Combined Gender,268.3221994
All classes,2011,Wisconsin,Combined Ages,Combined Gender,779.1717029
All other,2011,Wisconsin,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Wisconsin,Combined Ages,Combined Gender,91.19741066
Fluoroquinolones,2011,Wisconsin,Combined Ages,Combined Gender,76.99267357
Macrolides,2011,Wisconsin,Combined Ages,Combined Gender,160.8669656
Penicillins,2011,Wisconsin,Combined Ages,Combined Gender,192.9475186
All classes,2011,Wyoming,Combined Ages,Combined Gender,774.0374997
All other,2011,Wyoming,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2011,Wyoming,Combined Ages,Combined Gender,107.7292466
Fluoroquinolones,2011,Wyoming,Combined Ages,Combined Gender,73.11300827
Macrolides,2011,Wyoming,Combined Ages,Combined Gender,181.1862636
Penicillins,2011,Wyoming,Combined Ages,Combined Gender,168.7102889
All classes,2012,National,0-19,Combined Gender,858.0462689
B-lactams increased activity,2012,National,0-19,Combined Gender,86.29636989
Cephalosporins,2012,National,0-19,Combined Gender,152.4534877
Fluoroquinolones,2012,National,0-19,Combined Gender,8.938502346
Lincosamides,2012,National,0-19,Combined Gender,12.80138059
Macrolides,2012,National,0-19,Combined Gender,184.8814073
Other,2012,National,0-19,Combined Gender,Insufficient Data
Penicillins,2012,National,0-19,Combined Gender,297.1536426
Tetracycline,2012,National,0-19,Combined Gender,49.36696318
Trimethoprim-sulfamethoxazole,2012,National,0-19,Combined Gender,55.6517592
Urinary anti-infectives,2012,National,0-19,Combined Gender,10.11550022
