Phenotype,UnitedStates,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
Acinetobacter spp. MDR,National,CAUTI,2012,All Ages,285,184,64.6,58.8,69.9
Acinetobacter spp. MDR,National,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,National,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CAUTI,2013,19-64,196,135,68.9,62.1,75
Acinetobacter spp. MDR,National,CAUTI,2013,65+,132,105,79.5,72,85.7
Acinetobacter spp. MDR,National,CAUTI,2013,All Ages,334,244,73.1,68.1,77.6
Acinetobacter spp. MDR,National,CAUTI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,National,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CAUTI,2014,19-64,171,116,67.8,60.5,74.5
Acinetobacter spp. MDR,National,CAUTI,2014,65+,86,65,75.6,65.6,83.7
Acinetobacter spp. MDR,National,CAUTI,2014,All Ages,265,183,69.1,63.2,74.4
Acinetobacter spp. MDR,National,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CAUTI,All Years, 1-18,25,10,40,22.4,59.7
Acinetobacter spp. MDR,National,CAUTI,All Years,19-64,603,399,66.2,62.3,69.8
Acinetobacter spp. MDR,National,CAUTI,All Years,65+,408,318,77.9,73.7,81.7
Acinetobacter spp. MDR,National,CAUTI,All Years,All Ages,1040,729,70.1,67.2,72.8
Acinetobacter spp. MDR,National,CLABSI,2011,<1,28,4,14.3,4.7,30.9
Acinetobacter spp. MDR,National,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CLABSI,2011,19-64,308,187,60.7,55.1,66
Acinetobacter spp. MDR,National,CLABSI,2011,65+,171,125,73.1,66,79.3
Acinetobacter spp. MDR,National,CLABSI,2011,All Ages,524,319,60.9,56.6,64.9
Acinetobacter spp. MDR,National,CLABSI,2012,<1,29,3,10.3,2.6,25.6
Acinetobacter spp. MDR,National,CLABSI,2012, 1-18,28,3,10.7,2.7,26.4
Acinetobacter spp. MDR,National,CLABSI,2012,19-64,304,145,47.7,42.1,53.3
Acinetobacter spp. MDR,National,CLABSI,2012,65+,184,130,70.7,63.7,76.8
Acinetobacter spp. MDR,National,CLABSI,2012,All Ages,545,281,51.6,47.3,55.7
Acinetobacter spp. MDR,National,CLABSI,2013,<1,21,6,28.6,12.4,50.2
Acinetobacter spp. MDR,National,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CLABSI,2013,19-64,291,122,41.9,36.3,47.6
Acinetobacter spp. MDR,National,CLABSI,2013,65+,183,142,77.6,71.1,83.1
Acinetobacter spp. MDR,National,CLABSI,2013,All Ages,512,270,52.7,48.4,57
Acinetobacter spp. MDR,National,CLABSI,2014,<1,28,3,10.7,2.7,26.4
Acinetobacter spp. MDR,National,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,CLABSI,2014,19-64,282,108,38.3,32.7,44
Acinetobacter spp. MDR,National,CLABSI,2014,65+,138,90,65.2,56.9,72.8
Acinetobacter spp. MDR,National,CLABSI,2014,All Ages,460,201,43.7,39.2,48.2
Acinetobacter spp. MDR,National,CLABSI,All Years,<1,106,16,15.1,9.1,22.8
Acinetobacter spp. MDR,National,CLABSI,All Years, 1-18,74,6,8.1,3.3,16
Acinetobacter spp. MDR,National,CLABSI,All Years,19-64,1185,562,47.4,44.5,50.2
Acinetobacter spp. MDR,National,CLABSI,All Years,65+,676,487,72,68.5,75.3
Acinetobacter spp. MDR,National,CLABSI,All Years,All Ages,2041,1071,52.5,50.3,54.6
Acinetobacter spp. MDR,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,2011,19-64,50,20,40,27.1,53.9
Acinetobacter spp. MDR,National,SSI,2011,65+,42,19,45.2,30.7,60.3
Acinetobacter spp. MDR,National,SSI,2011,All Ages,97,39,40.2,30.8,50.1
Acinetobacter spp. MDR,National,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,National,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,2012,19-64,90,27,30,21.2,40
Acinetobacter spp. MDR,National,SSI,2012,65+,58,33,56.9,43.9,69.1
Acinetobacter spp. MDR,National,SSI,2012,All Ages,153,60,39.2,31.7,47.1
Acinetobacter spp. MDR,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,2013,19-64,94,27,28.7,20.2,38.4
Acinetobacter spp. MDR,National,SSI,2013,65+,69,29,42,30.8,53.8
Acinetobacter spp. MDR,National,SSI,2013,All Ages,167,56,33.5,26.6,40.9
Acinetobacter spp. MDR,National,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,National,SSI,2014,19-64,110,28,25.5,17.9,34.2
Acinetobacter spp. MDR,National,SSI,2014,65+,58,27,46.6,34,59.4
Acinetobacter spp. MDR,National,SSI,2014,All Ages,170,56,32.9,26.1,40.2
Acinetobacter spp. MDR,National,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,National,SSI,All Years,19-64,344,102,29.7,25,34.6
Acinetobacter spp. MDR,National,SSI,All Years,65+,227,108,47.6,41.1,54
Acinetobacter spp. MDR,National,SSI,All Years,All Ages,587,211,35.9,32.1,39.8
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2011,<1,24,4,16.7,5.5,35.4
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2011,19-64,352,199,56.5,51.3,61.6
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2011,65+,246,167,67.9,61.8,73.4
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2011,All Ages,641,372,58,54.1,61.8
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2012,<1,21,3,14.3,3.7,34.1
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2012, 1-18,39,4,10.3,3.3,22.9
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2012,19-64,455,198,43.5,39,48.1
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2012,65+,303,202,66.7,61.2,71.8
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2012,All Ages,818,407,49.8,46.3,53.1
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2013, 1-18,23,1,4.3,0.2,19.6
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2013,19-64,467,227,48.6,44,53.1
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2013,65+,325,222,68.3,63,73.1
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2013,All Ages,831,452,54.4,50.9,57.7
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2014,<1,24,4,16.7,5.5,35.4
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2014,19-64,464,212,45.7,41.1,50.2
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2014,65+,233,146,62.7,56.3,68.6
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,2014,All Ages,738,365,49.5,45.8,53
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,All Years,<1,85,13,15.3,8.7,24.1
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,All Years, 1-18,98,10,10.2,5.3,17.4
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,All Years,19-64,1738,836,48.1,45.7,50.4
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,All Years,65+,1107,737,66.6,63.7,69.3
Acinetobacter spp. (R+I) to carbapenems,National,All HAIs,All Years,All Ages,3028,1596,52.7,50.9,54.4
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2011,19-64,58,36,62.1,49.1,73.8
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2011,65+,56,43,76.8,64.4,86.4
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2011,All Ages,116,80,69,60.1,76.8
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2012,19-64,115,61,53,43.9,62
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2012,65+,97,65,67,57.2,75.8
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2012,All Ages,222,128,57.7,51,64
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2013,19-64,157,103,65.6,57.9,72.7
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2013,65+,109,77,70.6,61.5,78.6
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2013,All Ages,272,181,66.5,60.7,71.9
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2014,19-64,144,91,63.2,55,70.7
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2014,65+,74,51,68.9,57.7,78.6
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,2014,All Ages,225,144,64,57.5,70
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,All Years, 1-18,22,5,22.7,8.8,43.4
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,All Years,19-64,474,291,61.4,56.9,65.6
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,All Years,65+,336,236,70.2,65.1,74.9
Acinetobacter spp. (R+I) to carbapenems,National,CAUTI,All Years,All Ages,835,533,63.8,60.5,67
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2011,<1,20,3,15,3.9,35.6
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2011,19-64,261,145,55.6,49.4,61.5
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2011,65+,156,109,69.9,62.3,76.6
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2011,All Ages,453,259,57.2,52.5,61.6
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2012, 1-18,26,2,7.7,1.3,23.1
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2012,19-64,269,115,42.8,36.9,48.7
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2012,65+,159,114,71.7,64.3,78.2
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2012,All Ages,473,234,49.5,44.9,53.9
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2013,19-64,241,106,44,37.8,50.3
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2013,65+,159,120,75.5,68.3,81.6
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2013,All Ages,429,228,53.1,48.4,57.8
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2014,<1,22,3,13.6,3.5,32.7
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2014,19-64,232,96,41.4,35.1,47.8
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2014,65+,114,76,66.7,57.6,74.8
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,2014,All Ages,378,176,46.6,41.5,51.6
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,All Years,<1,75,11,14.7,7.9,24
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,All Years, 1-18,67,5,7.5,2.7,15.7
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,All Years,19-64,1003,462,46.1,42.9,49.1
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,All Years,65+,588,419,71.3,67.4,74.8
Acinetobacter spp. (R+I) to carbapenems,National,CLABSI,All Years,All Ages,1733,897,51.8,49.4,54.1
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2011,19-64,33,18,54.5,37.5,70.7
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2011,65+,34,15,44.1,28.2,60.9
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2011,All Ages,72,33,45.8,34.6,57.3
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2012,19-64,71,22,31,21,42.4
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2012,65+,47,23,48.9,34.9,63
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2012,All Ages,123,45,36.6,28.4,45.3
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2013,19-64,69,18,26.1,16.7,37.3
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2013,65+,57,25,43.9,31.4,56.8
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2013,All Ages,130,43,33.1,25.3,41.5
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2014,19-64,88,25,28.4,19.7,38.4
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2014,65+,45,19,42.2,28.4,56.9
Acinetobacter spp. (R+I) to carbapenems,National,SSI,2014,All Ages,135,45,33.3,25.7,41.6
Acinetobacter spp. (R+I) to carbapenems,National,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. (R+I) to carbapenems,National,SSI,All Years,19-64,261,83,31.8,26.3,37.6
Acinetobacter spp. (R+I) to carbapenems,National,SSI,All Years,65+,183,82,44.8,37.7,52
Acinetobacter spp. (R+I) to carbapenems,National,SSI,All Years,All Ages,460,166,36.1,31.7,40.5
CA-MRSA,National,All HAIs,2011,<1,130,51,39.2,31.1,47.8
CA-MRSA,National,All HAIs,2011, 1-18,45,19,42.2,28.4,56.9
CA-MRSA,National,All HAIs,2011,19-64,1210,406,33.6,30.9,36.2
CA-MRSA,National,All HAIs,2011,65+,1188,282,23.7,21.3,26.2
CA-MRSA,National,All HAIs,2011,All Ages,2573,758,29.5,27.7,31.2
CA-MRSA,National,All HAIs,2012,<1,119,60,50.4,41.4,59.3
CA-MRSA,National,All HAIs,2012, 1-18,68,28,41.2,29.9,53.1
CA-MRSA,National,All HAIs,2012,19-64,1846,670,36.3,34.1,38.5
CA-MRSA,National,All HAIs,2012,65+,1607,366,22.8,20.7,24.8
CA-MRSA,National,All HAIs,2012,All Ages,3640,1124,30.9,29.3,32.3
CA-MRSA,National,All HAIs,2013,<1,135,51,37.8,29.8,46.1
CA-MRSA,National,All HAIs,2013, 1-18,55,28,50.9,37.8,63.9
CA-MRSA,National,All HAIs,2013,19-64,1868,683,36.6,34.4,38.7
CA-MRSA,National,All HAIs,2013,65+,1776,462,26,24,28
CA-MRSA,National,All HAIs,2013,All Ages,3834,1224,31.9,30.4,33.4
CA-MRSA,National,All HAIs,2014,<1,133,56,42.1,33.9,50.6
CA-MRSA,National,All HAIs,2014, 1-18,49,18,36.7,24.1,50.8
CA-MRSA,National,All HAIs,2014,19-64,1858,667,35.9,33.7,38.1
CA-MRSA,National,All HAIs,2014,65+,1695,453,26.7,24.6,28.8
CA-MRSA,National,All HAIs,2014,All Ages,3735,1194,32,30.4,33.4
CA-MRSA,National,All HAIs,All Years,<1,517,218,42.2,37.9,46.4
CA-MRSA,National,All HAIs,All Years, 1-18,217,93,42.9,36.3,49.5
CA-MRSA,National,All HAIs,All Years,19-64,6782,2426,35.8,34.6,36.9
CA-MRSA,National,All HAIs,All Years,65+,6266,1563,24.9,23.8,26
CA-MRSA,National,All HAIs,All Years,All Ages,13782,4300,31.2,30.4,31.9
CA-MRSA,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,2011,65+,27,3,11.1,2.9,27.3
CA-MRSA,National,CAUTI,2011,All Ages,43,5,11.6,4.3,23.9
CA-MRSA,National,CAUTI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
CA-MRSA,National,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,2012,65+,47,7,14.9,6.7,27.2
CA-MRSA,National,CAUTI,2012,All Ages,62,9,14.5,7.3,24.9
CA-MRSA,National,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
CA-MRSA,National,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,2013,19-64,26,5,19.2,7.4,37.6
CA-MRSA,National,CAUTI,2013,65+,45,9,20,10.2,33.5
CA-MRSA,National,CAUTI,2013,All Ages,72,14,19.4,11.5,29.7
CA-MRSA,National,CAUTI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
CA-MRSA,National,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,2014,19-64,31,7,22.6,10.4,39.6
CA-MRSA,National,CAUTI,2014,65+,47,9,19.1,9.7,32.2
CA-MRSA,National,CAUTI,2014,All Ages,79,16,20.3,12.4,30.1
CA-MRSA,National,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CAUTI,All Years,19-64,85,15,17.6,10.6,26.8
CA-MRSA,National,CAUTI,All Years,65+,166,28,16.9,11.7,23.1
CA-MRSA,National,CAUTI,All Years,All Ages,256,44,17.2,12.9,22.1
CA-MRSA,National,CLABSI,2011,<1,123,48,39,30.7,47.8
CA-MRSA,National,CLABSI,2011, 1-18,30,9,30,15.7,47.9
CA-MRSA,National,CLABSI,2011,19-64,442,108,24.4,20.5,28.6
CA-MRSA,National,CLABSI,2011,65+,385,69,17.9,14.3,21.9
CA-MRSA,National,CLABSI,2011,All Ages,980,234,23.9,21.2,26.6
CA-MRSA,National,CLABSI,2012,<1,111,57,51.4,42,60.5
CA-MRSA,National,CLABSI,2012, 1-18,30,8,26.7,13.2,44.4
CA-MRSA,National,CLABSI,2012,19-64,467,127,27.2,23.3,31.3
CA-MRSA,National,CLABSI,2012,65+,414,75,18.1,14.6,22
CA-MRSA,National,CLABSI,2012,All Ages,1022,267,26.1,23.5,28.8
CA-MRSA,National,CLABSI,2013,<1,124,47,37.9,29.6,46.6
CA-MRSA,National,CLABSI,2013, 1-18,28,14,50,31.9,68
CA-MRSA,National,CLABSI,2013,19-64,485,114,23.5,19.8,27.4
CA-MRSA,National,CLABSI,2013,65+,448,91,20.3,16.7,24.2
CA-MRSA,National,CLABSI,2013,All Ages,1085,266,24.5,22,27.1
CA-MRSA,National,CLABSI,2014,<1,118,45,38.1,29.7,47.1
CA-MRSA,National,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
CA-MRSA,National,CLABSI,2014,19-64,515,127,24.7,21,28.5
CA-MRSA,National,CLABSI,2014,65+,420,88,21,17.2,25
CA-MRSA,National,CLABSI,2014,All Ages,1068,264,24.7,22.2,27.3
CA-MRSA,National,CLABSI,All Years,<1,476,197,41.4,37,45.8
CA-MRSA,National,CLABSI,All Years, 1-18,103,35,34,25.3,43.5
CA-MRSA,National,CLABSI,All Years,19-64,1909,476,24.9,23,26.9
CA-MRSA,National,CLABSI,All Years,65+,1667,323,19.4,17.5,21.3
CA-MRSA,National,CLABSI,All Years,All Ages,4155,1031,24.8,23.5,26.1
CA-MRSA,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
