Phenotype,Region,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
Acinetobacter spp. MDR,East_North_Central,CAUTI,2012,All Ages,37,24,64.9,48.6,78.8
Acinetobacter spp. MDR,East_North_Central,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,CAUTI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,CAUTI,2013,19-64,25,19,76,56.6,89.6
Acinetobacter spp. MDR,East_North_Central,CAUTI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2013,All Ages,40,32,80,65.5,90.2
Acinetobacter spp. MDR,East_North_Central,CAUTI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2014,19-64,20,16,80,58.5,93.3
Acinetobacter spp. MDR,East_North_Central,CAUTI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,2014,All Ages,32,26,81.3,65,92
Acinetobacter spp. MDR,East_North_Central,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CAUTI,All Years,19-64,75,53,70.7,59.6,80.1
Acinetobacter spp. MDR,East_North_Central,CAUTI,All Years,65+,45,37,82.2,69,91.3
Acinetobacter spp. MDR,East_North_Central,CAUTI,All Years,All Ages,124,93,75,66.8,82
Acinetobacter spp. MDR,East_North_Central,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,CLABSI,2011,19-64,30,22,73.3,55.5,86.7
Acinetobacter spp. MDR,East_North_Central,CLABSI,2011,65+,24,19,79.2,59.6,91.9
Acinetobacter spp. MDR,East_North_Central,CLABSI,2011,All Ages,56,41,73.2,60.5,83.5
Acinetobacter spp. MDR,East_North_Central,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,2012,19-64,35,23,65.7,49,79.9
Acinetobacter spp. MDR,East_North_Central,CLABSI,2012,65+,27,22,81.5,63.6,92.8
Acinetobacter spp. MDR,East_North_Central,CLABSI,2012,All Ages,69,46,66.7,54.9,77
Acinetobacter spp. MDR,East_North_Central,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,2013,19-64,30,17,56.7,38.7,73.3
Acinetobacter spp. MDR,East_North_Central,CLABSI,2013,65+,30,25,83.3,66.8,93.6
Acinetobacter spp. MDR,East_North_Central,CLABSI,2013,All Ages,64,43,67.2,55,77.8
Acinetobacter spp. MDR,East_North_Central,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,2014,19-64,30,14,46.7,29.5,64.4
Acinetobacter spp. MDR,East_North_Central,CLABSI,2014,65+,23,17,73.9,53.4,88.6
Acinetobacter spp. MDR,East_North_Central,CLABSI,2014,All Ages,59,31,52.5,39.8,65
Acinetobacter spp. MDR,East_North_Central,CLABSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,CLABSI,All Years,19-64,125,76,60.8,52,69
Acinetobacter spp. MDR,East_North_Central,CLABSI,All Years,65+,104,83,79.8,71.2,86.6
Acinetobacter spp. MDR,East_North_Central,CLABSI,All Years,All Ages,248,161,64.9,58.8,70.6
Acinetobacter spp. MDR,East_North_Central,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2012,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2013,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,2014,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,2014,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_North_Central,SSI,All Years,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,All Years, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_North_Central,SSI,All Years,19-64,33,11,33.3,18.9,50.5
Acinetobacter spp. MDR,East_North_Central,SSI,All Years,65+,27,13,48.1,29.9,66.6
Acinetobacter spp. MDR,East_North_Central,SSI,All Years,All Ages,60,24,40,28.2,52.7
Acinetobacter spp. MDR,East_South_Central,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2011,19-64,52,31,59.6,45.9,72.2
Acinetobacter spp. MDR,East_South_Central,All HAIs,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2011,All Ages,71,37,52.1,40.5,63.5
Acinetobacter spp. MDR,East_South_Central,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2012,19-64,61,27,44.3,32.2,56.8
Acinetobacter spp. MDR,East_South_Central,All HAIs,2012,65+,23,15,65.2,44.4,82.3
Acinetobacter spp. MDR,East_South_Central,All HAIs,2012,All Ages,90,43,47.8,37.6,58
Acinetobacter spp. MDR,East_South_Central,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2013,19-64,48,24,50,36,63.9
Acinetobacter spp. MDR,East_South_Central,All HAIs,2013,65+,25,16,64,44.1,80.8
Acinetobacter spp. MDR,East_South_Central,All HAIs,2013,All Ages,83,41,49.4,38.7,60
Acinetobacter spp. MDR,East_South_Central,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,2014,19-64,53,23,43.4,30.5,56.9
Acinetobacter spp. MDR,East_South_Central,All HAIs,2014,65+,23,16,69.6,48.8,85.6
Acinetobacter spp. MDR,East_South_Central,All HAIs,2014,All Ages,84,41,48.8,38.2,59.4
Acinetobacter spp. MDR,East_South_Central,All HAIs,All Years,<1,24,3,12.5,3.2,30.3
Acinetobacter spp. MDR,East_South_Central,All HAIs,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,All HAIs,All Years,19-64,214,105,49.1,42.4,55.7
Acinetobacter spp. MDR,East_South_Central,All HAIs,All Years,65+,82,53,64.6,53.8,74.3
Acinetobacter spp. MDR,East_South_Central,All HAIs,All Years,All Ages,328,162,49.4,43.9,54.7
Acinetobacter spp. MDR,East_South_Central,CAUTI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CAUTI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CAUTI,2012,19-64,20,13,65,42.6,83.2
Acinetobacter spp. MDR,East_South_Central,CAUTI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2012,All Ages,32,24,75,57.9,87.6
Acinetobacter spp. MDR,East_South_Central,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CAUTI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CAUTI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2013,All Ages,28,18,64.3,45.5,80.2
Acinetobacter spp. MDR,East_South_Central,CAUTI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2014,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,2014,All Ages,25,18,72,52.3,86.8
Acinetobacter spp. MDR,East_South_Central,CAUTI,All Years,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CAUTI,All Years,19-64,67,44,65.7,53.7,76.2
Acinetobacter spp. MDR,East_South_Central,CAUTI,All Years,65+,30,24,80,62.9,91.4
Acinetobacter spp. MDR,East_South_Central,CAUTI,All Years,All Ages,99,69,69.7,60.1,78.1
Acinetobacter spp. MDR,East_South_Central,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CLABSI,2011,19-64,37,23,62.2,45.8,76.5
Acinetobacter spp. MDR,East_South_Central,CLABSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2011,All Ages,52,28,53.8,40.2,67
Acinetobacter spp. MDR,East_South_Central,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,CLABSI,2012,19-64,32,12,37.5,22.1,55
Acinetobacter spp. MDR,East_South_Central,CLABSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2012,All Ages,45,16,35.6,22.6,50.2
Acinetobacter spp. MDR,East_South_Central,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2013,19-64,25,10,40,22.4,59.7
Acinetobacter spp. MDR,East_South_Central,CLABSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2013,All Ages,46,19,41.3,27.8,55.8
Acinetobacter spp. MDR,East_South_Central,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2014,19-64,29,12,41.4,24.6,59.7
Acinetobacter spp. MDR,East_South_Central,CLABSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,2014,All Ages,51,22,43.1,30.1,56.9
Acinetobacter spp. MDR,East_South_Central,CLABSI,All Years,All Ages,194,85,43.8,36.9,50.8
Acinetobacter spp. MDR,East_South_Central,CLABSI,All Years,<1,24,3,12.5,3.2,30.3
Acinetobacter spp. MDR,East_South_Central,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,CLABSI,All Years,19-64,123,57,46.3,37.6,55.1
Acinetobacter spp. MDR,East_South_Central,CLABSI,All Years,65+,43,25,58.1,43,72.1
Acinetobacter spp. MDR,East_South_Central,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2012,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2013,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,SSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,SSI,2014,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,2014,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,All Years,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,East_South_Central,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,All Years,19-64,24,4,16.7,5.5,35.4
Acinetobacter spp. MDR,East_South_Central,SSI,All Years,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,East_South_Central,SSI,All Years,All Ages,35,8,22.9,11.2,38.8
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2011,19-64,92,62,67.4,57.3,76.3
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2011,65+,68,47,69.1,57.4,79.2
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2011,All Ages,170,111,65.3,57.9,72.1
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2012,19-64,100,44,44,34.5,53.8
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2012,65+,83,62,74.7,64.5,83.1
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2012,All Ages,202,107,53,46,59.7
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2013,19-64,84,46,54.8,44,65.1
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2013,65+,77,56,72.7,61.9,81.7
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2013,All Ages,170,104,61.2,53.6,68.2
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2014,19-64,92,43,46.7,36.7,56.9
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2014,65+,59,39,66.1,53.3,77.2
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,2014,All Ages,157,82,52.2,44.4,59.9
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,All Years,<1,20,2,10,1.7,29.2
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,All Years, 1-18,24,3,12.5,3.2,30.3
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,All Years,19-64,368,195,53,47.8,58
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,All Years,65+,287,204,71.1,65.6,76.1
Acinetobacter spp. MDR,Middle_Atlantic,All HAIs,All Years,All Ages,699,404,57.8,54.1,61.4
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2011,19-64,20,16,80,58.5,93.3
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2011,All Ages,39,32,82.1,67.6,91.7
